PTS_DIFF,FG_PCT_DIFF,FG3_PCT_DIFF,REB_DIFF,AST_DIFF,PLUS_MINUS_DIFF,A_HOME,A_WIN
11,0.006000000000000005,0.02400000000000002,2,4,22.0,0,1
10,0.06,0.19699999999999995,3,0,20.0,0,1
-6,-0.04899999999999993,-0.135,5,-2,-12.0,1,0
10,0.13699999999999996,-0.09400000000000003,6,7,20.0,0,1
-25,-0.133,-0.227,-12,-1,-50.0,1,0
-5,-0.0030000000000000027,-0.02100000000000002,2,4,-10.0,1,0
-7,-0.052000000000000046,0.030000000000000027,0,5,-14.0,1,0
15,0.0050000000000000044,0.187,-12,8,30.0,1,1
4,-0.03700000000000003,0.08100000000000002,-6,-2,8.0,0,1
-16,-0.07100000000000001,-0.09500000000000003,8,-9,-32.0,0,0
-16,-0.10599999999999998,-0.21499999999999997,0,-13,-32.0,1,0
-3,0.069,0.10699999999999998,6,-1,-6.0,0,0
-3,0.008000000000000007,0.08700000000000002,4,6,-6.0,1,0
5,-0.0040000000000000036,0.09099999999999997,4,-4,10.0,0,1
-7,-0.019000000000000017,0.062,4,4,-14.0,1,0
-8,-0.022999999999999965,-0.185,11,-4,-16.0,0,0
39,0.08100000000000002,0.20400000000000001,-2,13,78.0,1,1
3,0.016000000000000014,-0.055999999999999994,6,-3,6.0,1,1
11,0.009000000000000008,0.03700000000000003,-1,7,22.0,1,1
6,0.0,-0.03400000000000003,1,9,12.0,1,1
15,0.007000000000000006,-0.088,12,0,30.0,1,1
4,-0.025000000000000022,0.10899999999999999,2,-3,8.0,0,1
3,-0.017000000000000015,-0.04099999999999998,4,-4,6.0,1,1
6,0.08200000000000007,0.14600000000000002,-1,-4,12.0,1,1
26,0.13300000000000006,0.09600000000000003,3,6,52.0,1,1
14,0.039000000000000035,0.0,5,0,28.0,1,1
8,0.063,0.030000000000000027,3,2,16.0,0,1
-12,-0.07699999999999996,-0.03600000000000003,10,-8,-24.0,0,0
-17,-0.07400000000000001,-0.03200000000000003,-3,-4,-34.0,0,0
-25,-0.07899999999999996,-0.14799999999999996,-6,-3,-50.0,0,0
14,0.12000000000000005,0.121,-8,5,28.0,0,1
-7,-0.059,0.014000000000000012,-11,4,-14.0,1,0
3,0.033999999999999975,0.027999999999999997,6,-8,6.0,0,1
-34,-0.10600000000000004,-0.11599999999999999,-13,-16,-68.0,0,0
11,0.046999999999999986,-0.026000000000000023,15,7,22.0,0,1
22,0.11299999999999999,0.13700000000000004,0,7,44.0,1,1
-11,-0.04899999999999999,0.08500000000000002,-7,-4,-22.0,0,0
-11,-0.04800000000000004,-0.0030000000000000027,-3,-2,-22.0,1,0
6,0.09600000000000003,-0.019999999999999962,4,8,12.0,1,1
-1,-0.04999999999999999,0.151,0,-6,-2.0,0,0
-14,-0.062,-0.03999999999999998,-8,4,-28.0,0,0
4,0.034999999999999976,0.03900000000000001,8,3,8.0,0,1
-14,-0.09600000000000003,0.012999999999999956,1,2,-28.0,1,0
27,0.14599999999999996,0.24000000000000005,15,9,54.0,0,1
-13,-0.01100000000000001,0.12,4,3,-26.0,0,0
10,0.03699999999999998,0.21000000000000002,-3,5,20.0,1,1
20,-0.0040000000000000036,0.09900000000000003,11,7,40.0,1,1
6,-0.11099999999999999,-0.063,8,4,12.0,1,1
-4,-0.02299999999999991,0.18400000000000005,-2,-3,-8.0,1,0
7,0.009000000000000008,-0.017999999999999988,16,6,14.0,1,1
24,0.137,0.19599999999999995,2,19,48.0,1,1
